1,"עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .","עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .",1
3732,ב ה_ ייצור ה תעשייתי מעדיפים את דבקי ה אוריאה או פוליוויניל - אצטט .,ב ה ייצור ה תעשייתי מעדיפים את דבקי ה אוריאה או פוליוויניל - אצטט .,3725
3733,"ל דברי הרצברג , רמת איטום ה ציפוי היא אחד ה מבחנים ל קבלת תו ה תקן .","ל דברי הרצברג , רמת איטום ה ציפוי היא אחד ה מבחנים ל קבלת תו ה תקן .",3726
3734,"עד היום זכו בו רק מטבחי רגבה , סאגה ו רמט , ו ב תהליכי אישור מתקדמים נמצאים מטבחי זיו ו טופז .","עד היום זכו ב הוא רק מטבחי רגבה , סאגה ו רמט , ו ב תהליכי אישור מתקדמים נמצאים מטבחי זיו ו טופז .",3727
3735,"באשר ל ה_ צבע , טיבו נמדד ב שמירת ה גוון ובעמידותו ל קרינת אור .","באשר ל ה צבע , טיבו נמדד ב שמירת ה גוון ו ב עמידותו ל קרינת אור .",3728
3736,"ה צרכן אינו יכול לבדוק דברים אלה ב עת ה קנייה , אבל ב מכון ה תקנים אומרים ש בודקים היטב גם אותם .","ה צרכן אינו יכול לבדוק דברים אלה ב עת ה קנייה , אבל ב מכון ה תקנים אומרים ש בודקים היטב גם את הם .",3729
3737,עוד נתון חשוב ש נבדק ב ה_ מכון הוא טיב ה צירים .,עוד נתון חשוב ש נבדק ב ה מכון הוא טיב ה צירים .,3730
3738,"בודקים את רמת ה עמידות שלהם ל קורוזיה ו את תפקדם , ה נבדק ב סימולציה : כל דלת ב ה_ מדגם נבדקת 05 אלף פעם ב פתיחה ו סגירה מלאה , באמצעות מכונה מיוחדת , ו עוד 02 אלף פעם פתיחה - ב כוח ב זווית של 03 מעלות .","בודקים את רמת ה עמידות של הם ל קורוזיה ו את תפקדם , ה נבדק ב סימולציה : כל דלת ב ה מדגם נבדקת 05 אלף פעם ב פתיחה ו סגירה מלאה , באמצעות מכונה מיוחדת , ו עוד 02 אלף פעם פתיחה - ב כוח ב זווית של 03 מעלות .",3731
3739,"מכון ה תקנים בודק גם את כושר ה העמסה על ה מדפים , עמידות ב שחיקה , ב הולם , ב חום יבש , ב הכתמה , ב שריטה ו ב שבירה .","מכון ה תקנים בודק גם את כושר ה העמסה על ה מדפים , עמידות ב שחיקה , ב הולם , ב חום יבש , ב הכתמה , ב שריטה ו ב שבירה .",3732
3740,"מפעל "" דלתות קיסריה "" , ב קיבוץ שדות - ים , ה מתמחה ב ייצור דלתות ל רהיטים ו מטבחים , יצא באחרונה ב מבצע מעניין : חידוש ארון ה מטבח ה קיים על - ידי החלפת ה דלתות בלבד , ב 04 % ממחירו של מטבח חדש ב אותו גודל .","מפעל "" דלתות קיסריה "" , ב קיבוץ שדות - ים , ה מתמחה ב ייצור דלתות ל רהיטים ו מטבחים , יצא באחרונה ב מבצע מעניין : חידוש ארון ה מטבח ה קיים על - ידי החלפת ה דלתות בלבד , ב 04 % מ מחירו של מטבח חדש ב אותו גודל .",3733
3741,"מאחר ש ה דלתות הן ה מעניקות ל ה_ מטבח את חזותו , ו הן גם ה רגישות ביותר ל בלאי , יש ב הצעה זו כדי לעניין צרכנים רבים .","מאחר ש ה דלתות הן ה מעניקות ל ה מטבח את חזותו , ו הן גם ה רגישות ביותר ל בלאי , יש ב הצעה זו כדי לעניין צרכנים רבים .",3734
3742,"ה דלתות ה מוצעות עשויות מ - ב ציפוי ייחודי , או מ עץ אלון : את דלתות ה - מתאימה ה חברה ל כל ארון קיים , ב כל ה דגמים ה מיוצרים ב ה_ מפעל , אך דלתות אלון אפשר להתאים ל שני דגמים בלבד .","ה דלתות ה מוצעות עשויות מ - ב ציפוי ייחודי , או מ עץ אלון : את דלתות ה - מתאימה ה חברה ל כל ארון קיים , ב כל ה דגמים ה מיוצרים ב ה מפעל , אך דלתות אלון אפשר להתאים ל שני דגמים בלבד .",3735
3743,"ה מפעל מספק את דלתות עץ ה אלון ללא צביעה ( אך מוכן לצבוע , ב מחיר נוסף ) .","ה מפעל מספק את דלתות עץ ה אלון ללא צביעה ( אך מוכן לצבוע , ב מחיר נוסף ) .",3736
3744,דלתות ה - ב מסגרת ה מבצע מצופות ב ה_ טכנולוגיה ה נקראת .,דלתות ה - ב מסגרת ה מבצע מצופות ב ה טכנולוגיה ה נקראת .,3737
3745,"זהו ציפוי ה מילואה ב פי - וי - סי , ב ה_ שיטה שבה ה הדבקה נעשית ב תנאי ואקום , לחץ ו טמפרטורה גבוהה .","זהו ציפוי ה מילואה ב פי - וי - סי , ב ה שיטה ש ב היא ה הדבקה נעשית ב תנאי ואקום , לחץ ו טמפרטורה גבוהה .",3738
3746,"ה מחירים להלן מתייחסים ל דלתות ב גדלים סטנדרדיים ( גובה 0408 ס""ם , רוחב עד 24 סם ) .","ה מחירים להלן מתייחסים ל דלתות ב גדלים סטנדרדיים ( גובה 0408 ס""ם , רוחב עד 24 סם ) .",3739
3747,"ה מחירים כוללים מע""ם , ל תשלום ב מזומן : אלון 987 ש""ח צביעה 42 ש""ח הרכב 81 ש""ח סה""ך 021 ש""ח ל דלת אלון מורכבת .","ה מחירים כוללים מע""ם , ל תשלום ב מזומן : אלון 987 ש""ח צביעה 42 ש""ח הרכב 81 ש""ח סה""ך 021 ש""ח ל דלת אלון מורכבת .",3740
3748,"26 ש""ח הרכבה 31 ש""ח סה""ך 57 ש""ח ל דלת מורכבת עלות חידושו של מטבח בן 01 דלתות ( כ 01 מטרים ) ב דלתות תגיע ל - 1,875 ש""ח , בלא ה לכלוך ה נלווה ל פירוק מטבח ישן ו התקנת חדש .","26 ש""ח הרכבה 31 ש""ח סה""ך 57 ש""ח ל דלת מורכבת עלות חידושו של מטבח בן 01 דלתות ( כ 01 מטרים ) ב דלתות תגיע ל - 1,875 ש""ח , בלא ה לכלוך ה נלווה ל פירוק מטבח ישן ו התקנת חדש .",3741
3749,( ע ) .,,
3750,"ל בית ה משפט ה מחוזי ב תל - אביב הוגש ב יום ששי כתב אישום נגד רוני לייבוביץ , בן 73 מ הרצליה , ש נודע כ "" שודד על ה אופנוע "" .","ל בית ה משפט ה מחוזי ב תל - אביב הוגש ב יום ששי כתב אישום נגד רוני לייבוביץ , בן 73 מ הרצליה , ש נודע כ "" שודד על ה אופנוע "" .",3742
3751,"כתב ה אישום , ה משתרע על פני 11 עמודים , מייחס ל לייבוביץ 22 אישומים של מעשי שוד ב נסיבות מחמירות .","כתב ה אישום , ה משתרע על פני 11 עמודים , מייחס ל לייבוביץ 22 אישומים של מעשי שוד ב נסיבות מחמירות .",3743
3752,"ה תובעת , עו""ד דבורה חן , מציינת כי במשך כ שנה ו חצי ביצע לייבוביץ שורה ארוכה של מעשי שוד ב סניפי בנקים , תוך ש הוא משתמש ב נשק ו מאיים בו על עובדי ה בנק ולקוחותיו .","ה תובעת , עו""ד דבורה חן , מציינת כי במשך כ שנה ו חצי ביצע לייבוביץ שורה ארוכה של מעשי שוד ב סניפי בנקים , תוך ש הוא משתמש ב נשק ו מאיים ב הוא על עובדי ה בנק ו לקוחותיו .",3744
3753,"ב חלק מ ה מקרים , נטען ב כתב ה אישום , אף ירה לייבוביץ ב נשק כדי לקדם את ביצוע ה שוד ו כדי להימלט מ ה מקום ללא הפרעה .","ב חלק מ ה מקרים , נטען ב כתב ה אישום , אף ירה לייבוביץ ב נשק כדי לקדם את ביצוע ה שוד ו כדי להימלט מ ה מקום ללא הפרעה .",3745
3754,שלל מעשי ה שוד של לייבוביץ הסתכם ב למעלה מ 003 אלף שקל .,שלל מעשי ה שוד של לייבוביץ הסתכם ב למעלה מ 003 אלף שקל .,3746
3755,"ב עת ש אותר על - ידי אנשי ה משטרה הוא נמלט מ ה מקום באמצעות אופנוע , בו השתמש ב עת ביצוע כל מעשי ה שוד , ו נלכד רק לאחר מרדף משטרתי .","ב עת ש אותר על - ידי אנשי ה משטרה הוא נמלט מ ה מקום באמצעות אופנוע , ב הוא השתמש ב עת ביצוע כל מעשי ה שוד , ו נלכד רק לאחר מרדף משטרתי .",3747
3756,"ב כתב ה אישום נטען עוד , כי ב מהלך ה שוד ב סניף בל""ל ב רמת - אביב , ניגש ה נאשם ל מכשיר ה כספומט , שחלקו ה אחורי מצוי בתוך ה סניף , ו ניסה לפתוח אותו על ידי סיבוב ה ידית .","ב כתב ה אישום נטען עוד , כי ב מהלך ה שוד ב סניף בל""ל ב רמת - אביב , ניגש ה נאשם ל מכשיר ה כספומט , ש חלקו ה אחורי מצוי בתוך ה סניף , ו ניסה לפתוח את הוא על ידי סיבוב ה ידית .",3748
3757,"קפידבין ב סניף ה בנק ה בינלאומי ב הרצליה אמרה ה כספרית ב ה_ סניף ל ה_ נאשם כי מפתחות ה קופה אינם ברשותה , ו אז חטף לייבוביץ מ ה מקום חותמת עם תאריכים של ה בנק ו נמלט מ ה מקום .","קפידבין ב סניף ה בנק ה בינלאומי ב הרצליה אמרה ה כספרית ב ה סניף ל ה נאשם כי מפתחות ה קופה אינם ב רשותה , ו אז חטף לייבוביץ מ ה מקום חותמת עם תאריכים של ה בנק ו נמלט מ ה מקום .",3749
3758,"גם מ סניף דיסקונט ב רמת - גן שדד ה נאשם , ב נוסף ל 13,095 שקלים , חותמת תאריך של ה סניף .","גם מ סניף דיסקונט ב רמת - גן שדד ה נאשם , ב נוסף ל 13,095 שקלים , חותמת תאריך של ה סניף .",3750
3759,"ב סניף בנק ה פועלים ב רחוב פנקס ב תל - אביב שדד לייבוביץ , ב נוסף ל 34,028 שקל מ כספי ה בנק , גם סך של 2,734 שקל מ אחד מ לקוחות ה סניף , ש עמד ליד ה דלפק של ה כספרית ש נשדדה .","ב סניף בנק ה פועלים ב רחוב פנקס ב תל - אביב שדד לייבוביץ , ב נוסף ל 34,028 שקל מ כספי ה בנק , גם סך של 2,734 שקל מ אחד מ לקוחות ה סניף , ש עמד ליד ה דלפק של ה כספרית ש נשדדה .",3751
3760,"עם סיום ה שוד ב ה_ סניף ה בינלאומי ב הרצליה , יצא אחרי ה נאשם אחד ה לקוחות ש צעק ל ה_ כספרית ב מהלך ה שוד לא לתת ל ה_ נאשם את ה כסף , מאחר ש מדובר ב אקדח צעצוע .","עם סיום ה שוד ב ה סניף ה בינלאומי ב הרצליה , יצא אחרי ה נאשם אחד ה לקוחות ש צעק ל ה כספרית ב מהלך ה שוד לא לתת ל ה נאשם את ה כסף , מאחר ש מדובר ב אקדח צעצוע .",3752
3761,הוא התקרב לעבר לייבוביץ ב מטרה למנוע ממנו להימלט .,הוא התקרב לעבר לייבוביץ ב מטרה למנוע ממן הוא להימלט .,3753
3762,ב תגובה ירה לייבוביץ ירייה אחת ב ה_ תקרה ו ה לקוח נאלץ לסגת חזרה .,ב תגובה ירה לייבוביץ ירייה אחת ב ה תקרה ו ה לקוח נאלץ לסגת חזרה .,3754
3763,"ב עת ה שוד ב סניף בנק ה פועלים ב רעננה , ירד מנהל ה סניף ל ה_ קומה ה ראשונה בה התבצע ה שוד .","ב עת ה שוד ב סניף בנק ה פועלים ב רעננה , ירד מנהל ה סניף ל ה קומה ה ראשונה ב היא התבצע ה שוד .",3755
3764,ה נאשם כיוון אליו את ה אקדח ו דרש ממנו לחזור ל ה_ קומה ה שנייה .,ה נאשם כיוון אלי הוא את ה אקדח ו דרש ממן הוא לחזור ל ה קומה ה שנייה .,3756
3765,ה מנהל חשש לחייו ו פעל כפי ש לייבוביץ דרש ממנו .,ה מנהל חשש ל חייו ו פעל כפי ש לייבוביץ דרש ממן הוא .,3757
3766,"ב מהלך ה שוד ב סניף בנק אמריקאי - ישראלי ב שדרות מוריה ב חיפה , התקרב לעבר ה נאשם עובד של ה בנק .","ב מהלך ה שוד ב סניף בנק אמריקאי - ישראלי ב שדרות מוריה ב חיפה , התקרב לעבר ה נאשם עובד של ה בנק .",3758
3767,"לייבוביץ הורה לו להיכנס חזרה ל חדר ה מנהל ו אמר לו : "" אני אירה בך "" .","לייבוביץ הורה ל הוא להיכנס חזרה ל חדר ה מנהל ו אמר ל הוא : "" אני אירה ב אתה "" .",3759
3768,"בכדי להמחיש את רצינות כוונותיו , ירה לייבוביץ ירייה אחת ש פגעה ב מנורת נאון ב ה_ תקרה , ששבריה התפזרו ל כל עבר ו סיכנו את ה נוכחים ב ה_ בנק .","בכדי להמחיש את רצינות כוונותיו , ירה לייבוביץ ירייה אחת ש פגעה ב מנורת נאון ב ה תקרה , ש שבריה התפזרו ל כל עבר ו סיכנו את ה נוכחים ב ה בנק .",3760
3769,"ב שוד ב בנק ה פועלים ב נוף - ים ב הרצליה , סירב אחד ה לקוחות להישמע ל הוראת ה נאשם לשכב על ה רצפה .","ב שוד ב בנק ה פועלים ב נוף - ים ב הרצליה , סירב אחד ה לקוחות להישמע ל הוראת ה נאשם לשכב על ה רצפה .",3761
3770,לייבוביץ התקרב אליו ו סימן לו באקדחו להיכנס ל חדר ה מנהל .,לייבוביץ התקרב אלי הוא ו סימן ל הוא ב אקדחו להיכנס ל חדר ה מנהל .,3762
3771,"ה לקוח סירב ו רק לאחר ש ה נאשם ירה מאקדחו , ציית ה לקוח ו נכנס ל חדר ה מנהל .","ה לקוח סירב ו רק לאחר ש ה נאשם ירה מ אקדחו , ציית ה לקוח ו נכנס ל חדר ה מנהל .",3763
3772,"לייבוביץ לא הסתפק ב סך של 5,779 שקל מ כספי סניף בנק ה פועלים ב רמת - גן , ו נטל מ ה דלפק שקית ה שייכת ל אחד מ לקוחות ה סניף ש הכילה 7,000 שקל .","לייבוביץ לא הסתפק ב סך של 5,779 שקל מ כספי סניף בנק ה פועלים ב רמת - גן , ו נטל מ ה דלפק שקית ה שייכת ל אחד מ לקוחות ה סניף ש הכילה 7,000 שקל .",3764
3773,"קפידבין ה תובעת ביקשה מ בית ה משפט לקיים את ה משפט ב הרכב של שלושה שופטים לאור חומרת ה עבירות , ריבוין ו ה חשיבות ה ציבורית של ה תיק .","קפידבין ה תובעת ביקשה מ בית ה משפט לקיים את ה משפט ב הרכב של שלושה שופטים לאור חומרת ה עבירות , ריבוין ו ה חשיבות ה ציבורית של ה תיק .",3765
3774,"היא הסבירה כי ה עונש ה קבוע ב ה_ חוק עבור כל אחת מ 22 ה עבירות הוא 02 שנה , ו על כן עדיף הרכב של שלושה שופטים , ש יכריע ב עניין ה עונש .","היא הסבירה כי ה עונש ה קבוע ב ה חוק עבור כל אחת מ 22 ה עבירות הוא 02 שנה , ו על כן עדיף הרכב של שלושה שופטים , ש יכריע ב עניין ה עונש .",3766
3775,ה תובעת ציינה כי לייבוביץ הודה ב ה_ משטרה ב ה_ עבירות ה מיוחסות לו ו לכן לא נראה כי ה משפט יתארך .,ה תובעת ציינה כי לייבוביץ הודה ב ה משטרה ב ה עבירות ה מיוחסות ל הוא ו לכן לא נראה כי ה משפט יתארך .,3767
3776,ה תובעת ביקשה עוד מ בית ה משפט לעצור את רוני לייבוביץ עד תום ה הליכים .,ה תובעת ביקשה עוד מ בית ה משפט לעצור את רוני לייבוביץ עד תום ה הליכים .,3768
3777,"היא טענה כי ב מעשי ה שוד ש ביצע , ב אופן שיטתי ו במשך תקופה ארוכה , הוא הוכיח בעליל כי הוא מהווה סיכון ל ה_ ציבור , ו כי קיים חשש ש יימלט מ אימת ה דין .","היא טענה כי ב מעשי ה שוד ש ביצע , ב אופן שיטתי ו במשך תקופה ארוכה , הוא הוכיח בעליל כי הוא מהווה סיכון ל ה ציבור , ו כי קיים חשש ש יימלט מ אימת ה דין .",3769
3778,ה דיון ב ה_ בקשה יתקיים היום .,ה דיון ב ה בקשה יתקיים היום .,3770
3779,"שר ה בינוי ו ה שיכון אריאל שרון הורה ב סוף ה שבוע ל חברת עמידר לאפשר ל זכאי ה משרד , מ קרב חסרי ה דיור , ש עוד נותרו ב ה_ אוהלים , לשכור חדר ב בתי מלון , שעמם הגיעה עמידר ל הסדר שכירות .","שר ה בינוי ו ה שיכון אריאל שרון הורה ב סוף ה שבוע ל חברת עמידר לאפשר ל זכאי ה משרד , מ קרב חסרי ה דיור , ש עוד נותרו ב ה אוהלים , לשכור חדר ב בתי מלון , ש עם הם הגיעה עמידר ל הסדר שכירות .",3771
3780,"עד כה הושכרו חדרים ב בתי מלון עבור עולים מ בריה""ם בלבד .","עד כה הושכרו חדרים ב בתי מלון עבור עולים מ בריה""ם בלבד .",3772
3781,"ב משרד ה שיכון הסבירו כי צעדו של שרון נועד לפתור לחלוטין את בעיית חסרי ה דיור ב ה_ אוהלים , שמספרם עומד כעת על 552 משפחות ב רחבי ה ארץ , לעומת 2,200 ב אמצע אוגוסט .","ב משרד ה שיכון הסבירו כי צעדו של שרון נועד לפתור לחלוטין את בעיית חסרי ה דיור ב ה אוהלים , ש מספרם עומד כעת על 552 משפחות ב רחבי ה ארץ , לעומת 2,200 ב אמצע אוגוסט .",3773
3782,ב משרד ה שיכון ציינו עוד כי צעד זה ב נוסף ל ה_ צעדים ה קודמים ש ננקטו יתנו פתרון מוחלט ל בעיית ה אוהלים .,ב משרד ה שיכון ציינו עוד כי צעד זה ב נוסף ל ה צעדים ה קודמים ש ננקטו יתנו פתרון מוחלט ל בעיית ה אוהלים .,3774
3783,"משרד ה שיכון העלה את השתתפותו ב שכר ה דירה ל ה_ זכאים ל 526 ש""ח ו אכלס זכאים ב דירות עמידר ש שופצו לאחרונה ו ב שכונות ה קרוואנים .","משרד ה שיכון העלה את השתתפותו ב שכר ה דירה ל ה זכאים ל 526 ש""ח ו אכלס זכאים ב דירות עמידר ש שופצו לאחרונה ו ב שכונות ה קרוואנים .",3775
3784,עוד הסבירו ב משרד ה שיכון כי 02 ה משפחות ה ראשונות ב ה_ ארץ כבר שילמו דמי פיקדון ו הן עתידות להיכנס ל ה_ קרוואנים ב ה_ ימים ה קרובים .,עוד הסבירו ב משרד ה שיכון כי 02 ה משפחות ה ראשונות ב ה ארץ כבר שילמו דמי פיקדון ו הן עתידות להיכנס ל ה קרוואנים ב ה ימים ה קרובים .,3776
3785,"לונדון ( מיוחד ל "" ה ארץ "" ) .",,
3786,"קבוצה חשאית ביותר הוקמה ליד מטה נאט""ו ב שנות ה 05 , כנראה על פי המלצת ה סי - איי - אי , ו קשרה קשרים הדוקים עם גורמים נאו - פאשיסטיים .","קבוצה חשאית ביותר הוקמה ליד מטה נאט""ו ב שנות ה 05 , כנראה על פי המלצת ה סי - איי - אי , ו קשרה קשרים הדוקים עם גורמים נאו - פאשיסטיים .",3777
3787,כך נמסר ב ידיעות ה מגיעות מ בריסל ו מ בירות אירופיות אחרות .,כך נמסר ב ידיעות ה מגיעות מ בריסל ו מ בירות אירופיות אחרות .,3778
3788,ה קשרים הללו נחקרים עתה על ידי ה שלטונות ב איטליה ו ב בלגיה .,ה קשרים הללו נחקרים עתה על ידי ה שלטונות ב איטליה ו ב בלגיה .,3779
3789,תפקיד ה קבוצה היה לפעול כ מחתרת ב מקרה של כיבוש סובייטי ב אירופה .,תפקיד ה קבוצה היה לפעול כ מחתרת ב מקרה של כיבוש סובייטי ב אירופה .,3780
3790,"היא הודרכה ב משותף על ידי כמה מן ה שירותים ה חשאיים של מדינות נאט""ו .","היא הודרכה ב משותף על ידי כמה מן ה שירותים ה חשאיים של מדינות נאט""ו .",3781
3791,עד לפני חודשיים התכנסה ועדת ה תיאום שלה ב בריסל .,עד לפני חודשיים התכנסה ועדת ה תיאום של היא ב בריסל .,3782
3792,בין ה יתר בוחנים ב איטליה את ה קשרים של ה קבוצה עם ה נאו - פאשיסטים ש פוצצו ב 0891 את תחנת ה רכבת ב בולוניה .,בין ה יתר בוחנים ב איטליה את ה קשרים של ה קבוצה עם ה נאו - פאשיסטים ש פוצצו ב 0891 את תחנת ה רכבת ב בולוניה .,3783
3793,ב פיגוע זה נהרגו 08 איש .,ב פיגוע זה נהרגו 08 איש .,3784
3794,"ה נאו - פאשיסטים עסקו אז ב ניסיון לגרום ל תוהו - ו בוהו ב איטליה , כדי ש לא תקום ממשלה ב שיתוף ה קומוניסטים .","ה נאו - פאשיסטים עסקו אז ב ניסיון לגרום ל תוהו - ו בוהו ב איטליה , כדי ש לא תקום ממשלה ב שיתוף ה קומוניסטים .",3785
3795,"ב ידיעות מ איטליה על ה קבוצה השתרבב שמו של ה נשיא פרנצסקו קוסיגה , ש היה סגן שר ה הגנה ב שנות ה 05 .","ב ידיעות מ איטליה על ה קבוצה השתרבב שמו של ה נשיא פרנצסקו קוסיגה , ש היה סגן שר ה הגנה ב שנות ה 05 .",3786
3796,""" מבצע גלאדיו "" , כפי ש נקראת תכנית ה פעולה ב איטליה , נערך בידיעתו .",""" מבצע גלאדיו "" , כפי ש נקראת תכנית ה פעולה ב איטליה , נערך ב ידיעתו .",3787
3797,"ה קבוצה פעלה גם ב פורטוגל , ב שנות ה 05 , ב ניסיון להגן על ה דיקטטורה ה ימנית של סלזאר .","ה קבוצה פעלה גם ב פורטוגל , ב שנות ה 05 , ב ניסיון להגן על ה דיקטטורה ה ימנית של סלזאר .",3788
3798,גם ב יוון היו שלוחות של ה קבוצה היא הוקמה שם ב 5591 ו פורקה ב 8891 .,גם ב יוון היו שלוחות של ה קבוצה היא הוקמה שם ב 5591 ו פורקה ב 8891 .,3789
3799,"ב בלגיה עדיין קיימים שרידים של ה קבוצה , בתור יחידת מסגרת , ו יש ברשותה משדרים חשאיים .","ב בלגיה עדיין קיימים שרידים של ה קבוצה , בתור יחידת מסגרת , ו יש ב רשותה משדרים חשאיים .",3790
3800,"תפקידה היה להוות זרוע ל פעולות חבלה , מודיעין ו התנגדות כללית , ב מקרה של כיבוש סובייטי .","תפקידה היה להוות זרוע ל פעולות חבלה , מודיעין ו התנגדות כללית , ב מקרה של כיבוש סובייטי .",3791
3801,"ב בלגיה נחקרים חשדות כי היו קשרים בין גורמים ב ה_ משטרה ה חשאית לבין קבוצה נאו - נאצית קטנה ב שם "" וסטלנד ה חדשה "" .","ב בלגיה נחקרים חשדות כי היו קשרים בין גורמים ב ה משטרה ה חשאית לבין קבוצה נאו - נאצית קטנה ב שם "" וסטלנד ה חדשה "" .",3792
3802,"גורמים רשמיים ב בלגיה אמרו ל ה_ עיתונאים , ש ה חקירה תימשך עד ש כל ה עובדות יהיו ידועות , ו ה שירותים ה חשאיים נצטוו לשתף פעולה ככל יכולתם .","גורמים רשמיים ב בלגיה אמרו ל ה עיתונאים , ש ה חקירה תימשך עד ש כל ה עובדות יהיו ידועות , ו ה שירותים ה חשאיים נצטוו לשתף פעולה ככל יכולתם .",3793
3803,ראש ה מועצה ה מקומית ירוחם מצפה ש אוכלוסיית ה עיירה תוכפל עם בואם של ה עולים ה חדשים .,ראש ה מועצה ה מקומית ירוחם מצפה ש אוכלוסיית ה עיירה תוכפל עם בואם של ה עולים ה חדשים .,3794
3804,"ציפייה זו זוכה ל תארים ו ל קלישאות כמו "" נס גדול "" ו "" שעה היסטורית "" , לא רק ל מדינת ישראל אלא גם ל עיירות ה פיתוח .","ציפייה זו זוכה ל תארים ו ל קלישאות כמו "" נס גדול "" ו "" שעה היסטורית "" , לא רק ל מדינת ישראל אלא גם ל עיירות ה פיתוח .",3795
3805,הייתי רוצה להצטרף ל ה_ התרגשות אך איך אפשר ?,הייתי רוצה להצטרף ל ה התרגשות אך איך אפשר ?,3796
3806,אירוע כה דרמטי כמו ה עלייה לא יכול להיספג ב ה_ אנרציה ה לאומית .,אירוע כה דרמטי כמו ה עלייה לא יכול להיספג ב ה אנרציה ה לאומית .,3797
3807,"אין ברירה , אנו נידרש מהר מאוד ל בדק - בית .","אין ברירה , אנו נידרש מהר מאוד ל בדק - בית .",3798
3808,"ו זה כולל את סוגיית עיירות ה פיתוח , בעיה בלתי - פתורה זה עשרות שנים .","ו זה כולל את סוגיית עיירות ה פיתוח , בעיה בלתי - פתורה זה עשרות שנים .",3799
3809,ו אילו פוליטיקאים פזיזים חושבים לחסלה על - ידי צירופה ל בעיית קליטת ה עלייה ה נוכחית .,ו אילו פוליטיקאים פזיזים חושבים לחסל את היא על - ידי צירופה ל בעיית קליטת ה עלייה ה נוכחית .,3800
3810,ב עיירות ה פיתוח פועלת דינמיקה של מיון בין חזקים ו חלשים ה חזקים עוזבים ו ה חלשים נשארים מ חוסר ברירה .,ב עיירות ה פיתוח פועלת דינמיקה של מיון בין חזקים ו חלשים ה חזקים עוזבים ו ה חלשים נשארים מ חוסר ברירה .,3801
3811,"אלה ש נשארו מרגישים "" תקועים "" אפילו אם מדי פעם , ב סיוע במאי מ תל - אביב , הם מנסים לעטוף עצמם ב מנה הגונה של לוקאל - פטריוטיות .","אלה ש נשארו מרגישים "" תקועים "" אפילו אם מדי פעם , ב סיוע במאי מ תל - אביב , הם מנסים לעטוף עצמם ב מנה הגונה של לוקאל - פטריוטיות .",3802
3812,"תאור זה לא בא אלא להתריע מפני ה התלהבות ה לא - משכנעת של ה ממסד , אשר מעוניין כדרכו להשיג שקט , להרגיע , לכבות שריפות , במקום לאזור אומץ ו להוכיח מנהיגות .","תאור זה לא בא אלא להתריע מפני ה התלהבות ה לא - משכנעת של ה ממסד , אשר מעוניין כ דרכו להשיג שקט , להרגיע , לכבות שריפות , במקום לאזור אומץ ו להוכיח מנהיגות .",3803
3813,"רק קביעת מדיניות ארוכת - טווח תאפשר התמודדות אמיתית עם ה אתגר של ה עלייה ה המונית של היום ו עם שרידי ה מחדלים של ה קליטה ה המונית של שלשום , בלי לנסות לבלבל ה אחת בתוך ה שנייה .","רק קביעת מדיניות ארוכת - טווח תאפשר התמודדות אמיתית עם ה אתגר של ה עלייה ה המונית של היום ו עם שרידי ה מחדלים של ה קליטה ה המונית של שלשום , בלי לנסות לבלבל ה אחת בתוך ה שנייה .",3804
3814,"אולם ב ה_ תסריט ה נכתב ב ימים אלה , ב צורה מרושלת ו ללא תאום ממשי בין ה רשויות , אפשר לדמיין כיצד אלפי עולים מגיעים ל עיירות ה פיתוח , כי שם יבנה משרד ה שיכון .","אולם ב ה תסריט ה נכתב ב ימים אלה , ב צורה מרושלת ו ללא תאום ממשי בין ה רשויות , אפשר לדמיין כיצד אלפי עולים מגיעים ל עיירות ה פיתוח , כי שם יבנה משרד ה שיכון .",3805
3815,"בוודאי יתקיימו קבלות - פנים נרגשות ; פועלים ערביים מ ה שטחים ישתלו ב ה_ פעם - ה מי - יודע - כמה שתילים רכים ב חזיתות ה בניינים ; ייפתחו כמה מיני - מרקטים , ה שוק של יום רביעי יתסוס ; ו ה רוכלים ילמדו מלים הכרחיות ב רוסית .","בוודאי יתקיימו קבלות - פנים נרגשות ; פועלים ערביים מ ה שטחים ישתלו ב ה פעם - ה מי - יודע - כמה שתילים רכים ב חזיתות ה בניינים ; ייפתחו כמה מיני - מרקטים , ה שוק של יום רביעי יתסוס ; ו ה רוכלים ילמדו מלים הכרחיות ב רוסית .",3806
3816,"אבל ה שירותים ה חברתיים , ה חינוכיים ו ה תרבותיים יישארו עם קשיים גדולים יותר , ב כל ה נוגע , למשל , ל תפקוד בתי - ה ספר .","אבל ה שירותים ה חברתיים , ה חינוכיים ו ה תרבותיים יישארו עם קשיים גדולים יותר , ב כל ה נוגע , למשל , ל תפקוד בתי - ה ספר .",3807
3817,ה תקציבים ה מוגדלים יאפשרו ל זמן מה לשוב ל עידן ה פעילות ה שטחית ו ה ראוותנית .,ה תקציבים ה מוגדלים יאפשרו ל זמן מה לשוב ל עידן ה פעילות ה שטחית ו ה ראוותנית .,3808
3818,"באשר ל מקומות עבודה , אין איש משלה את עצמו .","באשר ל מקומות עבודה , אין איש משלה את עצמו .",3809
